Specimen ID	Nominal Species ID
OG448	Iniistius jacksonensis
OG449	Lactoria diaphana
OG450	Lagocephalus sceleratus
OG451	Ostorhinchus hartzfeldii
OG452	Pseudorhombus arsius
OG453	Pseudorhombus jenynsii 
OG454	Pseudorhombus spinosus
OG455	Rachycentron canadum
OG456	Rhynchobatus djiddensis
OG457	Sardinella gibbosa
OG458	Saurida tumbil
OG459	Saurida undosquamis
OG460	Scolopsis monogramma
OG461	Scomberomorus queenslandicus
OG462	Scorpaenidae
OG463	Seriolina nigrofasciata
OG464	Siderea thyrsoidea
OG465	Siganus canaliculatus
OG466	Sphyraena jello
OG467	Synodus sageneus
OG468	Upeneus asymmetricus
OG469	Upeneus luzonius
OG470	
OG471	Nebrius ferrugineus
OG472	
OG473	Ptereleotris microlepis
OG474	Upeneus taeniopterus
OG475	Upeneus tragula
OG476	Lethrinus
OG477	Abalistes stellatus
OG478	Abudefduf bengalensis
OG479	Abudefduf bengalensis
OG480	Abudefduf bengalensis
OG481	Acanthopagrus latus
OG482	Alepes apercna
OG483	Amphiprion clarkii
OG484	Amphiprion clarkii
OG485	Apogon apogonides
OG486	Apogon brevicaudatus
OG487	Apogonichthyoides nigripinnis
OG488	Argyrosomus hololepidotus
OG489	Assiculus punctatus
OG490	Callionymus moretonensis
OG491	Carangoides equula
OG492	Carangoides fulvoguttatus
OG493	Caranx ignobilis
OG494	Cephalopholis boenak
OG495	Chaetodermis penicilligerus
OG496	Chaetodontoplus duboulayi
OG497	Chaetodontoplus duboulayi
OG498	Chelmon rostratus
OG499	Ctenochaetus
OG500	Epinephelus multinotatus
OG501	Feroxodon multistriatus
OG502	Labroides dimidiatus
OG503	Liza vaigiensis
OG504	Parachaetodon ocellatus
OG505	Pempheris klunzingeri
OG506	Plectorhinchus flavomaculatus
OG507	Plectropomus maculatus
OG508	Rachycentron canadum
OG509	Rhabdosargus sarba
OG510	Scomberomorus commerson
OG511	Sphyraena pinguis
OG512	Stegastes
OG513	Stegastes
OG514	Thalassoma hardwicke 
OG515	Variola louti
OG516	
OG517	 Arothron hispidus
OG518	Alepes apercna
OG519	Apistus carinatus
OG520	Callionymus grossi
OG521	Caranx bucculentus
OG522	Choerodon cephalotes
OG523	Dactyloptena papilio
OG524	Decapterus macarellus
OG525	Gobiidae
OG526	Inimicus sinensis 
OG527	Inegocia japonica
OG528	Jaydia ellioti
OG529	Lagocephalus lunaris
OG530	Johnius borneensis
OG531	Monacanthus chinensis
OG532	Nemipterus peronii
OG533	Ostorhinchus apogonoides
OG534	Pantolabus radiatus
OG535	Parapercis nebulosa
OG536	Paraplotosus
OG537	Aphareus furca
OG538	Callionymus grossi
OG539	Callionymus sublaevis
OG540	Carangoides chrysophrys
OG541	Carangoides gymnostethus
OG542	Carangoides hedlandensis
OG543	Carangoides humerosus
OG544	Carangoides malabaricus
OG545	Caranx bucculentus
OG546	Cheilodactylus gibbosus
OG547	Choerodon cauteroma
OG548	Cybiosarda elegans
OG549	Decapterus maruadsi
OG550	Elates ransonnettii
OG551	Epinephelus latifasciatus
OG552	Epinephelus malabaricus
OG553	Epinephelus sexfasciatus
OG554	Epinephelus stictus
OG555	Etelis carbunculus
OG556	Eubalichthys mosaicus
OG557	Glaucosoma buergeri
OG558	Gnathanodon speciosus
OG559	Gymnocranius grandoculis
OG560	Gymnocranius grandoculis
OG561	Gymnosarda unicolor
OG562	Herklotsichthys lippa
OG563	Jaydia melanopus
OG564	Lagocephalus lunaris
OG565	Lagocephalus sceleratus
OG566	Leiognathus
OG567	Lutjanus russellii
OG568	Meuschenia flavolineata
OG569	Mobula japanica
OG570	Nemipterus hexodon
OG571	Nuchequula gerreoides
OG572	Paracaesio xanthura
OG573	Hyporhamphus quoyi
OG574	Plectorhinchus flavomaculatus
OG575	Plectropomus laevis
OG576	Priacanthus blochii 
OG577	Priacanthus tayenus
OG578	Priacanthus tayenus
OG579	Pristipomoides auricilla
OG580	Pristipomoides zonatus 
OG581	Pristotis obtusirostris
OG582	Pterocaesio digramma
OG583	Saurida gracilis
OG584	Scarus ghobban
OG585	Scolopsis taenioptera
OG586	Scolopsis taenioptera
OG587	Scomberomorus commerson
OG588	Scomberomorus semifasciatus
OG589	Selaroides leptolepis
OG590	Seriola dumerili
OG591	Seriolina nigrofasciata
OG592	Synodus myops
OG593	Taeniopsetta ocellata 
OG594	Tathicarpus butleri
OG595	Thunnus tonggol
OG596	Trachichthys australis 
OG597	Tragulichthys jaculiferus
OG598	Upeneus asymmetricus
OG599	Upeneus sulphureus
OG600	Upeneus sundaicus
OG601	Upeneus sundaicus
OG602	Yongeichthys criniger 
OG603	Alepes kleinii
OG604	Apistus carinatus
OG605	Caranx
OG606	Caranx
OG607	Euristhmus lepturus 
OG608	Inimicus sinensis
OG609	Johnius borneensis
OG610	Lutjanus malabaricus
OG611	Netuma thalassina
OG612	Paramonacanthus filicauda
OG613	Pomadasys argyreus
OG614	Pomadasys kaakan
OG615	Pomadasys maculatus
OG616	Prionobutis microps
OG617	Rogadius asper
OG618	Sardinella brachysoma
OG619	Scatophagus argus
OG620	Scomberoides tol
OG621	Thryssa hamiltonii
OG622	Thryssa setirostris
OG623	Unidentified mackerel
OG624	Zabidius novemaculeatus
OG625	Doesn’t exist
OG626	Doesn’t exist
OG627	Doesn’t exist
OG628	Doesn’t exist
OG629	Doesn’t exist
OG630	Galeocerdo cuvier
OG631	Galeocerdo cuvier
OG632	Galeocerdo cuvier
OG633	Galeocerdo cuvier
OG634	Galeocerdo cuvier
OG635	Galeocerdo cuvier
OG636	Galeocerdo cuvier
OG637	Galeocerdo cuvier
OG638	Galeocerdo cuvier
OG639	Galeocerdo cuvier
OG640	Galeocerdo cuvier
OG641	Galeocerdo cuvier
OG642	Galeocerdo cuvier
OG643	Galeocerdo cuvier
OG644	Galeocerdo cuvier
OG645	Thunnus obesus
OG646	Pristipomoides auricilla
OG647	Etelis carbunculus
OG648	Saloptia powelli
OG649	Caranx lugubris
OG650	Etelis coruscans
OG651	Pristipomoides zonatus
OG652	Acanthocybium solandri
OG653	Thunnus albacares
OG654	Eumegistus illustris
OG655	Cephalopholis aurantia
OG656	Epinephelus retouti
OG657	Aphareus furca
OG658	Oxycheilinus unifasciatus
OG659	Beryx decadactylus
OG660	Polymixia berndti
OG661	Conger macrocephalus
OG662	Xiphasia setifer
OG663	Epinephelus retouti
OG664	Variola louti
OG665	Sphyraena barracuda
OG666	Cephalopholis miniata
OG667	Aphareus furca
OG668	Cephalopholis aurantia
OG669	Epinephelus spilotoceps
OG670	Epinephelus retouti
OG671	Cephalopholis argus
OG672	Caesio teres
OG673	Gymnosarda unicolor
OG674	Melichthys niger
OG675	Chaetodon meyeri
OG676	Acanthurus nigricans
OG677	Acanthurus triostegus
OG678	Zanclus cornutus
OG679	Paracanthurus hepatus
OG680	Aluterus scriptus
OG681	Abudefduf sexfasciatus
OG682	Dascyllus trimaculatus
OG683	Aphareus rutilans
OG684	Hirundichthys oxycephalus
OG685	Spratelloides robustus
OG686	Carangoides orthogrammus
OG687	Lethrinus erythropterus
OG688	Melichthys niger
OG689	Lethrinus xanthochilus
OG690	Lethrinus harak
OG691	Lethrinus obsoletus
OG692	Epinephelus tauvina
OG693	Cheilinus fasciatus
